,CPI,PPI,PMI,retail,rate,SF,BY2,BY10,DI,ER,CCPI,return_t+1(%)
201301,2.03053023,-1.6372,53.5,29990.638431400006,3.119471,25400.0,2.99152,3.59114,90.8255,6.2215,148.375,0.4265
201302,3.21977663,-1.6254,51.4,29990.638431400006,3.5234,10700.0,3.031026666666667,3.593386666666667,91.5509,6.2323,150.55,-0.17399999999999996
201303,2.06958744,-1.919,53.5,17641.2,3.1121305631067955,25400.0,3.045638095238095,3.5860857142857143,92.4132,6.2154,145.57999999999998,-0.3095238095238095
201304,2.38609129,-2.6175,51.1,17600.2968,3.186652,17500.0,2.973472222222222,3.4691555555555555,92.0478,6.1861,139.9,-0.09055555555555553
201305,2.09814943,-2.8658,50.9,18886.3,3.363401,11900.0,2.997418181818182,3.420695454545455,92.529,6.1416,137.84,0.28045454545454546
201306,2.66839244,-2.6965,49.8,18826.68261,3.1121305631067955,10400.0,3.3095352941176475,3.512670588235294,93.2836,6.1342,137.65,-0.9311764705882354
201307,2.67409934,-2.2712,49.5,18513.16154,3.469217,8088.0,3.352113043478261,3.6396,93.8724,6.1343,138.3,0.07913043478260871
201308,2.56662298,-1.625,51.8,18886.21547,4.046156,15700.0,3.6739636363636365,3.9116954545454545,93.7149,6.1213,139.7,0.15409090909090908
201309,3.05186303,-1.3439,51.2,20653.3,4.76,14000.0,3.8391526315789473,4.055747368421053,93.4706,6.1198,141.625,0.27684210526315794
201310,3.20581593,-1.5071,51.8,21491.28143,3.9643,8564.0,3.785883333333333,4.116305555555556,92.4993,6.1032,139.89999999999998,-0.12500000000000003
201311,3.01801617,-1.4242,52.3,21011.93444,4.609324,12300.0,4.230857142857142,4.459309523809524,93.3737,6.0929,139.7,0.07476190476190478
201312,2.49871692,-1.3557,51.2,23059.7,5.05,12300.0,4.337113636363636,4.549722727272727,93.534,6.0738,141.875,-0.18045454545454545
201401,2.48608048,-1.6,50.8,29990.638431400006,4.3195,25800.0,4.138461904761905,4.565928571428572,94.4648,6.0509,139.80760593220336,-0.22476190476190475
201402,1.95111081,-2.0182,49.8,29990.638431400006,3.1121305631067955,9387.0,3.6541562499999998,4.4793312499999995,94.6456,6.0816,137.35000000000002,-0.05499999999999998
201403,2.38483796,-2.3019,49.3,19800.55337,4.0415,20700.0,3.5207333333333333,4.476809523809524,94.4408,6.1729,135.675,-0.052380952380952396
201404,1.80138144,-2.0042,49.5,19701.16146,4.217743,15500.0,3.6202333333333336,4.425604761904762,93.9956,6.2246,134.025,-0.00952380952380953
201405,2.47729864,-1.4464,50.2,21249.7917,4.67,14000.0,3.698925,4.22953,93.67,6.238,134.45999999999998,-0.011999999999999983
201406,2.33606951,-1.1092,52.4,21166.44958,3.674235,19700.0,3.6033549999999996,4.061335,93.8274,6.2306,135.125,0.0375
201407,2.28515176,-0.8688,51.6,20775.79202,4.100337,2731.0,3.7752652173913046,4.1977,93.6039,6.1984,132.8,0.3234782608695652
201408,1.99086727,-1.2038,52.8,21133.93086,4.131481,9574.0,3.8870380952380956,4.246995238095238,94.5808,6.1541,130.26,0.05761904761904762
201409,1.62749503,-1.7996,52.3,23042.43384,3.963271,10500.0,3.8923333333333336,4.161895238095238,96.1209,6.1382,127.775,0.2471428571428571
201410,1.60114868,-2.2428,51.7,23967.24223,3.757428,6627.0,3.602811111111111,3.8333166666666667,97.4396,6.1251,122.775,0.08055555555555557
201411,1.43932617,-2.6928,51.1,23474.70151,4.24,11500.0,3.2429900000000003,3.585955,99.1147,6.1249,120.075,0.584
201412,1.50557006,-3.3152,51.4,25801.31491,3.539657,16900.0,3.3592347826086955,3.692378260869565,101.4441,6.1886,139.80760593220336,1.1430434782608696
201501,0.76380909,-4.3202,51.0,29990.638431400006,3.2477,20500.0,3.26771,3.5303750000000003,103.7607,6.2181,103.58,-0.38249999999999995
201502,1.43111999,-4.7976,51.8,29990.638431400006,3.312,13500.0,3.1659066666666664,3.3820666666666668,105.1685,6.2518,106.125,0.48200000000000004
201503,1.37577833,-4.5603,51.8,22722.81493,3.2209,11800.0,3.2367500000000002,3.4882727272727276,107.3647,6.2386,103.25,0.6263636363636363
201504,1.5090619,-4.5725,51.3,22386.71435,3.614159,10500.0,3.2015238095238097,3.527233333333333,106.3523,6.201,105.1,0.7228571428571429
201505,1.23076711,-4.607,51.2,24194.82306,3.271651,12200.0,2.7927,3.4243736842105266,105.4065,6.2035,106.74000000000001,0.32699999999999996
201506,1.39089989,-4.8135,50.6,24280.27088,2.59854,18600.0,2.487428571428571,3.597266666666667,106.179,6.2052,104.125,-0.7828571428571427
201507,1.64734136,-5.3692,50.2,24338.77762,3.327691,7188.0,2.5261565217391304,3.4997826086956523,108.1236,6.2085,99.58,-0.3891304347826086
201508,1.95537195,-5.9227,48.8,24893.36474,2.1553,10800.0,2.57577,3.470745,109.9768,6.3383,95.525,-0.5466666666666666
201509,1.59560463,-5.945,48.0,25270.6,3.026964,13000.0,2.7379315789473684,3.3156526315789474,110.8513,6.3676,95.325,-0.07450000000000001
201510,1.26744712,-5.9,49.9,28278.88962,3.071769,4767.0,2.7290272727272726,3.0653363636363635,109.9036,6.3505,93.6,0.3241176470588235
201511,1.48558345,-5.9193,50.5,27937.34583,3.21272,10200.0,2.7536047619047617,3.1203095238095235,111.6916,6.364,88.425,0.1723809523809524
201512,1.63697525,-5.8814,49.4,28634.6,3.1121305631067955,18200.0,2.6188521739130435,2.9510521739130438,112.7857,6.4491,84.5,-0.12869565217391307
201601,1.75181582,-5.2797,50.1,29990.638431400006,2.562075,34200.0,2.51666,2.81609,115.2344,6.5726,81.47999999999999,-0.8484999999999999
201602,2.28432853,-4.9026,49.4,29990.638431400006,2.2243,7802.0,2.5309,2.8450625,114.2817,6.5501,83.16666666666667,0.08624999999999992
201603,2.30139085,-4.3207,51.3,25114.1,2.7512,23400.0,2.3735565217391303,2.857573913043478,111.8934,6.5027,91.4,0.42260869565217396
201604,2.32786471,-3.3813,50.8,24645.8,2.849226,7510.0,2.39832,2.89987,110.0171,6.4754,96.52000000000001,-0.009000000000000008
201605,2.0389992,-2.8,50.5,26610.7,2.861322,6599.0,2.4830809523809525,2.9252904761904763,111.1405,6.5259,102.2,-0.07380952380952381
201606,1.87950281,-2.6,50.3,26857.4,2.9491,16300.0,2.509505,2.94435,111.5596,6.5892,101.2,-0.005499999999999987
201607,1.76511296,-1.7,51.9,26827.4,2.543907,4879.0,2.4468380952380953,2.809609523809524,112.4773,6.6771,100.6,0.03761904761904765
201608,1.33977315,-0.8,51.8,27539.6,2.747497,14700.0,2.299034782608696,2.7166260869565217,111.4384,6.6466,104.8,0.1708695652173913
201609,1.920226,0.1,51.4,27976.4,3.1121305631067955,17200.0,2.318115789473684,2.752115789473684,112.3169,6.6702,108.46,-0.008499999999999997
201610,2.0959467,1.2,52.9,31119.2,2.34425,8963.0,2.2832125,2.6924,113.4747,6.7303,113.2,0.12437499999999997
201611,2.2522581,3.3,52.9,30958.5,2.781665,17400.0,2.3250681818181818,2.8290772727272726,116.1075,6.8402,117.525,0.27045454545454545
201612,2.0765455,5.5,53.5,31757.0,3.1121305631067955,16300.0,2.7718045454545455,3.1469681818181816,117.9048,6.9198,127.14000000000001,-0.29
201701,2.5490554,6.9,52.2,29990.638431400006,2.8256,37400.0,2.7784999999999997,3.2249,117.7861,6.8907,127.7,0.037222222222222205
201702,0.80201168,7.8,52.6,29990.638431400006,3.316633,11500.0,2.8728833333333332,3.3746111111111112,116.1203,6.8694,128.475,0.15444444444444444
201703,0.9171446,7.6,52.1,27863.7,3.204,21200.0,2.9061304347826082,3.331634782608696,115.6554,6.894,125.6,0.05913043478260869
201704,1.1657978,6.4,51.2,27278.5,3.18025,13900.0,3.0762833333333335,3.3883833333333335,114.7698,6.8876,123.65,-0.12277777777777778
201705,1.5170654,5.5,51.5,29459.2,3.611092,10600.0,3.52793,3.61306,114.2607,6.8843,121.15,0.10599999999999998
201706,1.4958174,5.5,51.1,29807.6,3.58737,17800.0,3.5531045454545453,3.5686636363636364,112.7614,6.8066,118.28,0.19772727272727275
201707,1.4067418,5.5,51.9,29609.8,3.647528,12200.0,3.471233333333333,3.586528571428571,111.0617,6.7694,121.85,0.15619047619047616
201708,1.7672098,6.3,52.4,30329.7,3.5908,14800.0,3.4413608695652176,3.6239,109.9073,6.667,127.05000000000001,0.07173913043478261
201709,1.6320063,6.9,51.4,30870.3,3.604304,18200.0,3.516114285714286,3.622547619047619,108.8559,6.569,131.25,0.06476190476190477
201710,1.8683825,6.9,51.0,34240.9,3.841385,10400.0,3.554694117647059,3.738676470588235,110.8913,6.6254,133.225,0.1723529411764706
201711,1.7345582,5.8,51.6,34108.2,3.1121305631067955,16000.0,3.673609090909091,3.9223318181818185,111.1658,6.62,135.2,0.005909090909090892
201712,1.8482176,4.9,53.0,34734.1,3.1121305631067955,11400.0,3.7569095238095236,3.9003285714285716,110.8786,6.5932,137.45,0.10952380952380954
201801,1.4679661,4.3346,53.7,29990.638431400006,3.1121305631067955,30600.0,3.611109090909091,3.9382499999999996,108.36,6.4233,140.6,0.1759090909090909
201802,2.9038877,3.7,53.3,29990.638431400006,3.1121305631067955,11700.0,3.4943866666666663,3.8723799999999997,107.6534,6.3183,139.71,-0.30000000000000004
201803,2.0566543,3.1,51.8,29193.6,3.1121305631067955,13300.0,3.424595454545454,3.794963636363636,107.9506,6.3174,137.35500000000002,-0.1809090909090909
201804,1.8023478,3.4,52.3,28541.9,3.1121305631067955,15600.0,3.2626333333333335,3.6481833333333333,107.9461,6.2967,137.564,-0.17277777777777775
201805,1.7504993,4.1,52.3,30359.1,3.1121305631067955,7608.0,3.1708545454545454,3.666559090909091,111.0494,6.3701,140.715,0.013181818181818178
201806,1.85362997,4.7,53.0,30841.6,3.1121305631067955,11800.0,3.324765,3.60967,112.847,6.4651,142.94,-0.49450000000000005
201807,2.0594179,4.6,52.3,30733.7,3.97,10415.0,3.1636181818181814,3.511368181818182,113.0629,6.7164,141.228,0.06000000000000003
201808,2.30314095,4.1,52.0,31542.3,3.165,15215.0,3.0373826086956526,3.5695826086956517,113.8344,6.8453,141.698,-0.15130434782608695
201809,2.47239413,3.6,52.1,32005.4,3.6,22054.0,3.1693736842105262,3.6437736842105264,114.0818,6.8551,145.74,-0.03578947368421049
201810,2.54315116,3.3,50.5,35534.4,3.368622,7288.0,3.100311111111111,3.5671166666666667,114.8337,6.9191,147.36333333333332,-0.17388888888888887
201811,2.175041,2.7,51.9,35259.7,3.110638,15191.0,2.8345363636363636,3.434040909090909,116.1714,6.9367,138.976,0.12954545454545452
201812,1.86069849,0.9,52.2,35893.49834,3.22,15898.0,2.7322200000000003,3.308475,116.2147,6.8837,130.255,-0.46349999999999997
201901,1.74041115,0.1,50.9,29990.638431400006,2.31,46400.0,2.596590909090909,3.1266409090909093,114.4439,6.7863,129.4325,0.4113636363636364
201902,1.48676502,0.1,50.7,29990.638431400006,2.44,7030.0,2.535413333333333,3.1222733333333332,114.4141,6.7367,133.62,0.9813333333333333
201903,2.27640249,0.4,52.9,31725.7,2.69,28600.0,2.6254714285714287,3.135847619047619,114.7858,6.7119,137.138,0.2923809523809524
201904,2.53989216,0.9,52.7,30586.1,3.19,13600.0,2.7914714285714286,3.3347238095238096,114.9059,6.7161,140.755,-0.34380952380952373
201905,2.74282264,0.6,51.5,32955.7,2.998457,14000.0,2.8538249999999996,3.3033050000000004,115.9605,6.8519,140.026,-0.06100000000000001
201906,2.68144539,0.0,50.6,33878.1,3.580566,22600.0,2.8425263157894736,3.235663157894737,115.4313,6.8977,135.9125,0.4326315789473685
201907,2.7826408,-0.3,50.9,33073.3,3.383664,10100.0,2.801886956521739,3.1684217391304346,115.082,6.8775,137.9425,-0.14478260869565215
201908,2.8434701,-0.8,51.6,33896.3,2.75,19800.0,2.713618181818182,3.0475681818181815,117.1052,7.0629,136.958,0.05863636363636364
201909,3.0230418,-1.2,51.9,34494.9,2.46,22700.0,2.6793050000000003,3.087825,117.3288,7.1137,141.79666666666665,-0.009999999999999998
201910,3.7551002,-1.6,52.0,38104.3,2.94,6189.0,2.7017388888888885,3.2060055555555556,116.7511,7.0961,144.85666666666665,0.1661111111111111
201911,4.4884258,-1.4,53.2,38093.8,2.935586,17500.0,2.761214285714286,3.2228238095238093,116.5637,7.0199,147.53199999999998,-0.13904761904761903
201912,4.45517388,-0.5,52.6,38776.7,3.12,21030.28486,2.6897227272727275,3.1722181818181814,115.9139,7.0137,149.29250000000002,0.3631818181818182
202001,5.3845689,0.1,51.9,29990.638431400006,2.25,50700.0,2.49688125,3.09445625,115.2819,6.9184,152.53,-0.71375
202002,5.1747758,-0.4,27.5,29990.638431400006,2.2,8554.0,2.258965,2.83383,116.7138,6.9967,143.695,0.5035000000000001
202003,4.2700636,-1.5,46.7,26449.9,2.771875,51546.0,2.076631818181818,2.653440909090909,121.0245,7.0205,126.5675,-0.4436363636363636
202004,3.29199133,-3.1,47.6,28177.8,1.99,30900.0,1.4345190476190477,2.5481190476190476,123.2835,7.0708,115.5675,0.3314285714285714
202005,2.43772471,-3.7,54.5,31972.8,3.162625,31900.0,1.4862555555555557,2.6791,122.6187,7.1016,116.08800000000001,0.055
202006,2.48342187,-3.0,55.7,33525.9,2.692727,34266.0,2.195035,2.82821,119.6809,7.0816,133.6925,0.34049999999999997
202007,2.69585411,-2.4,54.5,32202.5,2.553918,16900.0,2.416073913043478,2.9492217391304347,118.6956,7.0041,141.426,0.5313043478260869
202008,2.37561276,-2.0,55.1,33570.6,2.64,35800.0,2.638347619047619,2.9866619047619047,116.9526,6.927,145.6775,0.07619047619047621
202009,1.71747588,-2.1,54.5,35294.7,3.81,34771.91633,2.790631818181818,3.1115818181818184,116.3489,6.8106,142.8,-0.1468181818181818
202010,0.5,-2.1,55.7,38576.5,3.02,14200.0,2.8803625,3.19434375,115.7839,6.7254,142.20999999999998,0.05687500000000004
202011,-0.5,-1.5,57.5,39514.2,3.01467,21300.0,2.985547619047619,3.255504761904762,114.0998,6.6029,145.99,0.3419047619047619
202012,0.2,-0.4,55.8,40566.0,3.096679,17164.0,2.8852,3.2444826086956517,111.9016,6.5393,158.0,0.1726086956521739
202101,-0.3,0.3,52.2,29990.638431400006,2.43,51700.0,2.6808699999999996,3.150095,111.4914,6.4672,165.424,0.1505
202102,-0.2,1.7,51.7,29990.638431400006,3.1121305631067955,17100.0,2.7956866666666667,3.24178,112.0248,6.4601,173.41333333333333,0.014000000000000028
202103,0.4,4.4,53.1,35484.1,3.30375,33531.0,2.823408695652174,3.239226086956522,113.349,6.5109,176.7775,-0.24043478260869566
202104,0.9,6.8,54.7,33152.6,2.872827,18500.0,2.7287666666666666,3.1901333333333333,112.6409,6.5186,175.778,-0.04190476190476191
202105,1.3,9.0,53.8,35945.1,2.866078,19200.0,2.6026666666666665,3.1228,111.2263,6.432,180.82,0.3061111111111111
202106,1.1,8.8,50.6,37585.8,3.1121305631067955,36700.0,2.7067428571428573,3.096533333333333,111.5885,6.425,178.835,-0.09857142857142856
202107,1.0,9.0,53.1,34925.1,2.0,10600.0,2.537881818181818,2.966727272727273,113.069,6.4763,180.38400000000001,-0.25227272727272726
202108,0.8,9.5,47.2,34394.9,2.69,29600.0,2.5000954545454546,2.852186363636364,113.4092,6.4768,175.94,-0.05454545454545454
202109,0.7,10.7,51.4,36833.0,2.47,29000.0,2.512175,2.86407,113.4482,6.4563,176.91,0.06699999999999999
202110,1.5,13.5,51.5,40453.9,2.749206,15900.0,2.58,2.971875,114.074,6.4172,187.2775,-0.04687500000000001
202111,2.3,12.9,51.2,41043.2,2.89,26100.0,2.513181818181818,2.897727272727273,115.0016,6.3889,184.2825,-0.041818181818181824
202112,1.5,10.3,53.0,41268.9,3.1121305631067955,23700.0,2.486086956521739,2.8317391304347823,115.8134,6.3693,178.322,0.06999999999999999
202201,0.9,9.1,50.1,29990.638431400006,2.229044,61700.0,2.285263157894737,2.761578947368421,115.0496,6.3556,186.6825,-0.30473684210526314
202202,0.9,8.8,50.1,29990.638431400006,2.603,11900.0,2.2425,2.78625,115.0131,6.3436,194.53,-0.015625
202203,1.5,8.3,43.9,34233.1,2.538231,46500.0,2.3156521739130436,2.817391304347826,116.3674,6.3446,206.86,-0.31695652173913036
202204,2.1,8.0,37.2,29483.1,2.31977,9102.0,2.2863157894736843,2.7942105263157893,117.1794,6.431,207.70999999999998,-0.32052631578947366
202205,2.1,6.4,42.2,33547.0,2.497546,27900.0,2.217368421052632,2.794736842105263,119.665,6.699,209.51,0.10210526315789475
202206,2.5,6.1,55.3,38742.5,2.441889,51700.0,2.2604761904761905,2.7804761904761905,119.9628,6.6952,210.3225,0.4342857142857143
202207,2.7,4.2,54.0,35870.1,2.369914,7561.0,2.2523809523809524,2.797142857142857,122.6483,6.7352,201.23200000000003,-0.30095238095238097
202208,2.5,2.3,53.0,36257.9,2.48557,24300.0,2.1052173913043477,2.6708695652173913,122.2373,6.8007,195.7775,-0.14869565217391303
202209,2.8,0.9,48.5,37744.9,2.304851,35300.0,2.084761904761905,2.6595238095238094,125.5069,7.0195,192.212,-0.3904761904761904
202210,2.1,-1.3,48.3,40270.5,2.195907,9079.0,2.08125,2.7125,127.4084,7.1902,196.04333333333332,-0.134375
202211,1.6,-1.3,47.0,38615.1,2.538477,19900.0,2.2459090909090906,2.776818181818182,124.8149,7.1812,194.6875,0.3240909090909091
202212,1.8,-0.7,48.3,40542.3,2.48839,13100.0,2.382727272727273,2.87,122.2021,6.9717,188.154,-0.024090909090909086
