指标名称,7天回购利率:加权平均:最近1月(B1M):月:平均值,短期贷款利率:6个月(含)(月),中债国债到期收益率:5年:月:平均值,中间价:新西兰元兑人民币:月:平均值,银行间同业拆借:成交金额:30天:当月值,金融机构:本外币贷款余额:初值:同比,金融机构:新增人民币贷款:当月值,金融机构:各项存款余额:同比,货币当局:储备货币:其他存款性公司存款,货币当局:国外负债,货币当局:自有资金,M0:同比,M1:同比,现金净投放:当月值,基础货币余额:同比:月:均值,出口价格指数(HS2):总指数,出口价格指数(BEC):食品和饮料,出口价格指数(BEC):加工品,出口价格指数(BEC):资本货品(运输设备除外)及其零件和附件,出口价格指数(BEC):运输设备及其零件和附件,出口价格指数(BEC):未列名的消费品,进口价格指数(BEC):加工品,进口价格指数(BEC):资本货品(运输设备除外)及其零件和附件,进口价格指数(BEC):运输设备及其零件和附件,进口价格指数(BEC):未列名的消费品,进口价格指数(BEC):未列名的消费品:耐用品,进口价格指数(BEC):未列名的消费品:非耐用品,出口价格指数(BEC):未列名的消费品:非耐用品,实际使用外资金额:外商直接投资:当月同比,CPI:食品:当月同比,CPI:居住:当月同比,CPI:生活用品及服务:当月同比,CPI:交通和通信:当月同比,CPI:教育文化和娱乐:当月同比,PPI:全部工业品:环比,PPI:生活资料:衣着类:当月同比,PPI:生活资料:耐用消费品类:当月同比,RPI:当月同比,CGPI:煤油电:当月同比,GDP:现价:累计同比:月:均值,GDP:初步核算数:当季同比:月:均值,社会融资规模:当月值,社会融资规模:累计值,上证所:平均市盈率,上证所:A股平均市盈率,上证综合指数:月:平均值,上证A股指数:月:平均值,换手率:上证综合指数:月:平均值,涨跌幅:上证综合指数:月:平均值,市净率:万得全A:月:平均值
201906,2.526278261,4.35,3.014491304,4.5954,504.21,11.9,10600.0,8.1,210260.4373,966.7178,219.752,4.5,3.1,108.0,-1.261997,103.8,108.2,104.0,105.0,104.8,105.3,104.7,106.8,109.3,103.1,107.0,98.8,105.9,4.1,9.1,1.5,0.8,-2.1,2.3,-0.2,1.3,-1.2,0.01768808,-4.1,2.403333333,2.0,12872.11027,159007.2822,13.88,13.69,2947.84517,3087.571783,0.460765217,-0.064213652,1.670393548
201907,2.769186364,4.35,2.936381818,4.527727273,192.48,11.9,12100.0,8.4,207945.0575,1127.7336,219.752,4.8,3.4,463.0,-1.261997,103.0,106.4,103.0,100.4,101.3,106.1,100.2,106.5,105.7,105.0,107.9,105.0,106.3,0.3,10.0,1.0,0.7,-2.3,2.1,-0.1,0.9,-2.0,0.01794019,-5.4,2.403333333,2.0,21955.76501,180963.0472,13.69,13.5,2847.063264,2982.51555,0.476095455,-0.067762773,1.62986129
201908,2.77492381,4.35,2.977847619,4.49963,487.98,12.0,16900.0,8.3,212229.5586,1105.5545,219.752,4.0,3.4,978.0,-1.261997,102.0,105.3,102.6,100.3,101.3,107.3,103.4,95.1,106.5,112.0,105.7,118.0,107.4,0.5,11.2,0.7,0.6,-2.9,1.7,0.1,0.9,-1.8,0.019,-6.5,2.403333333,2.0,25142.21046,206105.2577,13.82,13.64,2978.38379,3120.199455,0.567855,0.03579155,1.708956667
201909,2.729284211,4.35,3.036247368,4.490177778,392.86,11.8,6613.0,8.2,205823.5009,1069.9726,219.752,4.7,3.3,-734.0,-0.683027287,101.1,104.3,101.2,98.5,101.4,106.6,105.2,97.4,103.0,106.8,103.9,110.0,104.4,3.1,15.5,0.5,0.6,-3.5,1.9,0.1,0.6,-1.8,0.02241375,-7.2,3.353333333,2.0,8680.002122,214785.2598,13.93,13.76,2954.832456,3095.624289,0.417272222,0.0475875,1.679235484
201910,2.729604762,4.35,3.026266667,4.487842857,285.16,11.9,13900.0,8.4,209882.9633,1105.7913,219.752,4.8,3.5,578.0,-0.683027287,101.4,103.6,101.7,98.7,103.7,107.0,107.0,95.7,102.6,110.5,103.8,115.5,103.3,0.1,19.1,0.4,0.4,-2.8,1.7,-0.1,0.3,-2.1,0.03040321,-5.9,3.353333333,2.0,19936.91623,234722.176,13.72,13.5,2923.7747,3063.294438,0.407109524,-0.09148781,1.62553
201911,2.595109091,4.35,2.965859091,4.620227273,389.51,11.9,11400.0,8.7,226023.86,841.77,219.75,5.4,4.4,3216.0,-0.683027287,98.6,102.3,101.1,95.6,104.7,102.2,108.5,96.1,98.3,102.2,106.2,97.9,100.7,0.29,17.4,0.5,0.4,-0.7,1.8,0.0,-0.1,-2.4,0.03417832,-2.0,3.353333333,2.0,22013.0,255753.0,14.55,14.28,2962.063709,3103.741709,0.523359091,0.276035227,1.655416129
201912,2.649477778,4.35,2.876788235,4.590425,719.44,11.6,33400.0,8.3,202608.32,1136.57,219.75,6.6,0.0,16100.0,1.547050607,98.65,103.35,101.1,96.75,103.9,100.95,109.7,96.4,102.05,100.85,104.8,97.35,100.85,2.2,20.6,0.5,0.2,0.9,2.2,0.0,-0.3,-2.3,0.0434035,0.4,-1.083333333,-2.266666667,50535.0,50535.0,14.42,14.03,3078.654681,3225.845019,0.67010625,-0.147788375,1.721290323
202001,2.4957,4.35,2.62242,4.47521,532.45,11.7,9057.0,8.1,197359.23,934.72,219.75,10.9,4.8,-5062.0,1.547050607,98.7,104.4,101.1,97.9,103.1,99.7,110.9,96.7,105.8,99.5,103.4,96.8,101.0,-27.37,21.9,0.3,0.1,-1.6,1.0,-0.5,-0.3,-2.0,0.04207087,-2.5,-1.083333333,-2.266666667,8737.0,59272.0,14.08,13.63,2927.513035,3067.77291,0.907365,-0.1405479,1.686882759
202002,2.150672727,4.35,2.469731818,4.240777273,535.84,12.3,28500.0,9.3,212680.93,1896.22,219.75,10.8,5.0,-5205.0,1.547050607,101.2,104.0,102.7,101.6,105.1,102.0,115.3,96.9,107.9,101.2,102.0,98.5,100.4,-16.51,18.3,-0.1,0.3,-3.8,2.5,-1.0,-0.5,-1.9,0.02772307,-8.0,-1.083333333,-2.266666667,51838.0,110767.0,13.44,13.07,2852.062891,2988.789227,0.885509091,-0.193276273,1.646945161
202003,1.710813636,4.35,2.0118,4.24987619,470.33,12.9,17000.0,9.9,208740.67,1185.14,219.75,10.2,5.5,-1537.0,-0.505444757,107.7,106.2,104.6,108.0,113.0,112.1,112.8,102.0,101.5,103.0,100.8,104.6,112.0,8.6,14.8,-0.3,0.1,-4.9,2.0,-1.3,-0.6,-1.7,0.01741073,-13.2,0.42,1.066666667,31027.0,141794.0,14.07,13.61,2814.112695,2949.284705,0.620185714,0.190470048,1.600103333
202004,1.533884211,4.35,2.0722,4.320022222,597.01,13.0,14800.0,10.4,207935.31,1250.98,219.75,9.5,6.8,-1778.0,-0.505444757,108.4,102.1,103.8,107.2,110.7,113.5,109.9,103.9,104.1,103.8,98.1,102.2,110.5,4.2,10.6,-0.5,0.1,-5.1,2.2,-0.4,-0.6,-1.7,0.00911698,-15.0,0.42,1.066666667,31866.0,173660.0,13.09,12.63,2867.085033,3005.170439,0.558422222,-0.012726222,1.619354839
202005,1.887809524,4.35,2.525890476,4.56265,502.34,13.0,18100.0,10.6,207202.69,1198.45,219.75,9.5,6.5,-248.0,-0.505444757,104.3,99.4,101.7,103.3,106.2,107.7,106.5,107.3,99.1,112.4,109.3,114.7,107.3,3.7,11.1,-0.58934,0.0354,-4.64542,1.9027,0.4,-0.8,-1.8,0.01109414,-12.6,0.42,1.066666667,34681.0,208328.0,13.9,13.33,2940.737905,3082.424115,0.63626,0.2295939,1.695703333
202006,2.247347826,4.35,2.709869565,4.613013043,756.29,13.0,9927.0,10.3,196061.37,1079.54,219.75,9.9,6.9,408.0,1.063731583,104.3,100.1,103.2,101.3,103.9,109.9,104.1,101.7,109.8,110.1,107.4,109.4,111.6,12.2,13.2,-0.724911,-0.064145,-4.396246,0.324884,0.4,-1.1,-1.6,0.01653982,-10.1,1.193333333,1.633333333,16928.0,225256.0,15.58,14.85,3288.827239,3447.246291,1.21226087,0.473340696,1.932145161
202007,2.307438095,4.35,2.858685714,4.57272381,1228.92,12.8,12800.0,10.3,196502.18,1137.83,219.75,9.4,8.0,175.0,1.063731583,101.3,100.8,102.5,99.5,103.1,105.2,102.2,105.1,104.5,109.4,109.7,108.6,106.9,15.0,11.2,-0.749541,-0.092622,-3.924041,-0.027215,0.3,-1.3,-1.5,0.01613061,-8.9,1.193333333,1.633333333,35853.0,261109.0,16.03,15.3,3374.214376,3536.689648,0.945128571,0.126830476,2.015764516
202008,2.393495652,4.35,3.016865217,4.544940909,566.53,12.8,19000.0,10.7,209650.34,1080.69,219.75,11.1,8.1,2328.0,1.063731583,96.2,99.6,100.7,90.3,104.1,102.5,98.7,104.2,105.9,107.4,100.7,107.6,101.8,23.7,7.9,-0.781388,-0.132791,-3.628848,0.654261,0.1,-1.7,-1.9,0.00832878,-8.9,1.193333333,1.633333333,34693.0,296200.0,15.28,14.54,3288.863209,3446.91005,0.59145,-0.239621136,1.958836667
202009,2.415476471,4.35,3.064458824,4.45505625,372.6,12.8,6898.0,10.3,198214.43,981.22,219.75,10.4,9.1,-1334.0,0.642985113,97.8,97.6,97.9,94.9,102.0,103.1,96.4,101.5,108.1,103.6,97.6,100.5,101.5,18.4,2.2,-0.7,-0.1,-3.9,1.1,0.0,-1.7,-1.8,-0.003,-9.8,0.846666667,2.166666667,13929.0,310129.0,15.37,14.61,3301.739731,3460.423231,0.49938125,0.017293438,1.956958065
202010,2.6753,4.35,3.089733333,4.529652381,421.32,12.6,14300.0,10.7,210364.03,1010.06,219.75,10.3,10.0,557.0,0.642985113,99.9,97.0,96.2,99.9,99.0,104.0,95.2,99.1,97.2,109.6,111.1,110.7,99.9,5.6,-2.0,-0.6,0.0,-3.9,1.0,0.5,-1.8,-1.8,-0.011,-9.4,0.846666667,2.166666667,21355.0,331484.0,16.27,15.48,3345.486281,3506.397733,0.710214286,0.244198238,1.95935
202011,2.389669565,4.35,3.071052174,4.635817391,404.55,12.5,12600.0,10.2,222906.08,929.67,219.75,9.2,8.6,2721.0,0.642985113,100.5,96.2,94.7,100.1,99.7,104.6,93.2,97.8,101.5,102.6,103.9,99.9,100.8,8.36,1.2,-0.6,0.0,-3.1,0.9,1.1,-1.8,-1.8,-0.003,-7.4,0.846666667,2.166666667,17192.0,348633.0,16.76,15.9,3399.719278,3563.555683,0.733456522,0.106869043,1.981887097
202012,2.349875,4.35,2.96109,4.659415,345.8,12.5,35800.0,10.4,203006.66,1059.65,219.75,-3.9,14.7,5310.0,0.959644067,101.0,95.2,94.4,97.5,98.5,105.0,91.0,97.1,100.8,98.6,98.0,98.3,98.9,6.2,1.6,-0.4,0.0,-4.6,0.0,1.0,-1.3,-1.8,-0.005,-6.3,6.91,6.1,51884.0,51884.0,16.82,15.93,3566.427985,3738.364885,0.870685,0.01899845,2.071180645
202101,2.817047059,4.35,3.074017647,4.683366667,197.99,12.6,13600.0,10.4,202351.6,1055.81,219.75,4.2,7.4,2299.0,0.959644067,97.9,98.4,98.0,92.0,99.0,102.4,92.1,97.7,107.7,103.2,101.5,103.4,95.6,86.94,-0.2,-0.3,-0.2,-1.9,0.6,0.8,-1.3,-1.8,-0.003,-2.4,6.91,6.1,17243.0,69127.0,16.94,16.11,3576.935047,3749.516907,0.83724,0.056355667,2.077232143
202102,2.215326087,4.35,3.060208696,4.648469565,237.82,12.3,27300.0,9.9,216682.77,1038.8,219.75,4.2,7.1,-5380.0,0.959644067,98.3,96.3,95.1,94.8,99.5,102.0,90.8,96.1,101.1,102.5,99.7,102.6,101.9,59.51,-0.7,0.2,0.0,2.7,0.4,1.6,-0.8,-1.4,0.009,4.1,6.91,6.1,33762.0,102380.0,16.63,15.82,3442.978183,3608.858613,0.834908696,-0.075920565,1.963351613
202103,2.173795455,4.35,2.989559091,4.645385714,253.56,12.0,14700.0,8.9,209032.05,1119.94,219.75,5.3,6.2,-740.0,1.74652072,97.8,96.7,97.4,93.0,97.6,100.3,97.6,95.1,104.6,97.7,97.4,97.7,99.4,39.55,-0.7,0.4,0.4,4.9,1.3,0.9,-0.6,-0.9,0.016,11.1,5.516666667,2.633333333,18570.0,120950.0,16.74,15.82,3453.5046,3619.816552,0.682828571,0.008903476,1.94785
202104,2.147789474,4.35,2.923747368,4.647844444,226.27,11.8,15000.0,8.9,213457.96,1028.39,219.75,5.6,6.1,-1626.0,1.74652072,99.6,99.4,97.6,96.0,101.1,100.6,103.2,96.7,103.7,100.1,99.5,99.9,100.8,27.36,0.3,0.7,0.4,5.5,1.5,1.6,-0.6,-0.8,0.021,15.2,5.516666667,2.633333333,19522.0,140472.0,17.29,16.31,3508.935894,3677.977511,0.8059,0.268870722,1.952470968
202105,2.298652381,4.35,2.972638095,4.569166667,285.4,11.9,21200.0,9.2,216320.68,942.49,219.75,6.2,5.5,169.0,1.74652072,100.8,100.1,98.1,99.4,101.3,98.0,104.0,98.1,106.0,98.5,98.4,99.0,93.6,15.91,-1.7,0.9,0.3,5.8,1.5,0.3,-0.8,-0.6,0.021,14.9,5.516666667,2.633333333,37017.0,177357.0,17.39,16.21,3575.853614,3748.130776,0.745604762,-0.030400143,2.026216667
202106,2.359722727,4.35,2.809795455,4.522609091,252.93,11.8,10800.0,8.6,202120.98,964.63,219.75,6.1,4.9,371.0,0.918543237,102.6,97.6,98.0,101.4,102.7,100.8,106.7,97.2,99.7,97.0,96.2,97.0,98.8,7.85,-3.7,1.1,0.3,6.9,2.7,0.5,-0.4,-0.3,0.019,15.3,4.626666667,1.633333333,10752.0,188109.0,16.6,15.29,3513.871977,3682.916836,0.865790909,-0.246708636,2.035145161
202107,2.235372727,4.35,2.700868182,4.517227273,260.52,11.7,12200.0,8.3,198187.0,1083.46,219.75,6.3,4.2,342.0,0.918543237,106.5,97.3,98.3,104.7,107.1,106.2,112.0,94.2,103.9,93.0,90.9,92.2,106.8,8.56,-4.1,1.1,0.6,5.9,3.0,0.7,0.0,-0.1,0.016,15.1,4.626666667,1.633333333,29893.0,218002.0,17.37,16.04,3494.676805,3662.698873,0.986822727,0.196444091,2.047045161
202108,2.299627273,4.35,2.708527273,4.562075,283.58,11.4,16600.0,8.6,212046.96,1357.8,219.75,5.5,3.7,1807.0,0.918543237,110.6,99.0,101.9,112.0,106.4,109.8,113.6,102.0,103.4,104.2,105.2,105.2,114.0,8.63,-5.2,1.3,0.5,5.8,3.2,1.2,0.4,0.2,0.018,17.6,4.626666667,1.633333333,29026.0,247481.0,17.47,16.26,3627.214665,3801.580425,1.313115,0.03788975,2.046656667
202109,2.349388235,4.35,2.825641176,4.54235,242.34,11.4,8262.0,9.1,203832.77,1156.13,219.75,6.2,2.8,-781.0,-0.09490717,108.1,99.0,103.4,107.7,107.2,104.7,115.2,105.8,102.0,106.1,107.3,107.1,106.5,7.78,-2.4,1.7,0.9,7.0,2.9,2.5,0.8,-0.1,0.029,23.7,4.19,1.333333333,16176.0,263657.0,17.37,16.14,3574.028531,3745.693444,0.857425,-0.034432625,2.004806452
202110,2.264445455,4.35,2.746445455,4.493936364,197.57,11.4,12700.0,8.6,205698.6,1415.67,219.75,7.2,3.0,1348.0,-0.09490717,107.5,101.7,105.6,106.2,112.0,106.1,115.0,109.5,106.8,112.3,115.2,113.9,115.9,5.63,1.6,1.7,0.5,7.6,3.0,0.0,1.2,0.1,0.034,23.8,4.19,1.333333333,25983.0,289640.0,17.63,16.15,3538.605523,3708.616864,0.779977273,0.022783136,1.96607
202111,2.385573913,4.35,2.698913043,4.322769565,264.42,11.3,11300.0,9.3,212392.89,998.21,219.75,7.7,3.5,3391.0,-0.09490717,109.3,103.5,109.2,111.1,112.1,104.6,113.7,113.5,104.6,119.6,122.1,123.4,112.7,9.26,-1.2,1.6,0.8,5.0,3.1,-1.2,1.0,0.4,0.022,18.6,4.19,1.333333333,23580.0,313509.0,18.02,16.61,3627.039513,3801.426091,0.894965217,0.093911043,2.01923871
202112,2.501585714,4.35,2.514904762,4.297084211,496.28,11.2,39800.0,9.2,194279.92,1036.28,219.75,18.5,-1.9,15400.0,0.866801227,109.5,105.7,108.4,109.8,108.0,106.9,114.9,114.4,105.3,118.3,123.5,119.8,116.1,17.6,-3.8,1.4,0.4,5.2,2.9,-0.2,1.4,0.6,0.015,18.0,2.79,1.6,61759.0,61759.0,16.63,15.41,3533.891842,3703.361732,0.832357895,-0.413916684,1.949229032
202201,2.24696875,4.35,2.50308125,4.23479375,336.96,11.1,12300.0,9.8,204313.02,1633.74,219.75,5.8,4.7,-8961.0,0.866801227,111.7,105.9,110.0,112.0,111.3,106.0,113.1,107.1,98.4,110.4,110.7,110.5,112.4,74.76,-3.9,1.4,0.6,5.5,2.5,0.5,1.4,0.7,0.019,18.7,2.79,1.6,12170.0,73929.0,17.16,15.91,3461.948625,3628.145388,0.80200625,0.188769813,1.869189286
202202,2.244321739,4.35,2.564686957,4.351969565,565.58,11.0,31300.0,10.0,215231.7,1188.03,219.75,10.0,4.7,-2122.0,0.866801227,111.1,105.2,108.4,112.7,110.5,106.8,114.6,108.7,100.3,110.2,112.5,110.9,114.8,12.99,-1.5,1.3,0.9,5.8,2.6,1.1,0.8,0.3,0.027,21.1,2.79,1.6,46565.0,120570.0,16.13,15.03,3284.306557,3442.258126,0.911313043,-0.257361783,1.778177419
202203,2.196409524,4.35,2.567385714,4.342,229.22,10.6,6454.0,10.4,206134.42,1186.55,219.75,11.5,5.1,485.0,1.003333333,108.9,104.2,106.4,108.0,105.5,106.3,112.4,113.1,102.0,117.8,119.4,120.0,110.8,8.69,1.9,1.2,1.2,6.5,2.0,0.6,0.7,-0.1,0.034,22.3,1.91,0.133333333,9327.0,129897.0,15.14,14.2,3134.839474,3285.508368,0.946342105,-0.326258947,1.667873333
202204,1.7918,4.35,2.56087,4.290115789,278.04,10.7,18900.0,10.5,204605.98,1293.58,219.75,13.5,4.6,-80.0,1.003333333,109.6,106.9,107.6,108.2,107.9,107.2,114.7,104.4,103.9,103.0,103.3,103.1,111.7,5.81,2.3,1.0,1.4,6.2,1.8,0.1,1.2,-0.1,0.033,20.3,1.91,0.133333333,28415.0,158312.0,12.83,11.98,3090.438074,3238.700968,0.852184211,0.240758368,1.588935484
202205,1.744761905,4.35,2.608057143,4.255704762,206.22,10.8,28100.0,10.8,212469.45,1312.63,219.75,13.9,5.8,464.0,1.003333333,115.7,108.6,111.5,115.3,116.0,113.9,118.0,107.4,100.0,107.0,106.2,106.9,119.3,26.83,2.9,0.8,1.5,8.5,2.1,0.0,2.3,-0.2,0.037,20.6,1.91,0.133333333,51926.0,210037.0,13.73,12.72,3295.3877,3453.261343,0.998766667,0.311247905,1.721403333
202206,1.821552381,4.35,2.604390476,4.172666667,196.8,10.5,6790.0,11.4,202092.89,1553.83,219.75,13.9,6.7,498.0,1.796666667,114.3,106.0,109.1,114.6,110.9,111.6,123.1,117.7,103.4,117.9,119.0,118.5,113.5,18.55,6.3,0.7,1.4,6.1,1.5,-1.3,2.1,-0.3,0.035,16.7,1.91,1.3,7785.0,217822.0,13.22,12.12,3305.0328,3463.566143,0.783666667,-0.204911095,1.770758065
202207,1.563152174,4.35,2.433791304,4.258252174,286.77,10.4,12500.0,11.3,202148.65,1537.76,219.75,14.3,6.1,722.0,1.796666667,112.7,106.2,108.4,112.0,112.7,108.8,118.8,111.5,104.3,108.7,108.8,108.4,106.5,10.95,6.1,0.6,1.3,4.9,1.6,-1.2,2.2,-0.6,0.031,14.4,1.91,1.3,24712.0,242534.0,13.11,11.99,3243.600026,3398.689978,0.723526087,-0.065077391,1.755003226
202208,1.637847619,4.35,2.453161905,4.153495238,251.45,10.7,24700.0,11.3,216253.7,1465.69,219.75,13.6,6.4,1441.0,1.796666667,113.1,105.9,107.5,115.8,111.1,111.5,115.1,108.9,99.2,106.2,106.2,106.1,109.9,9.11,8.8,0.3,1.4,4.5,1.2,-0.1,2.3,-0.6,0.032,11.8,1.91,1.3,35411.0,277730.0,12.45,11.38,3152.124776,3303.268281,0.615942857,-0.267806619,1.654413333
202209,1.7659,4.35,2.497361111,4.06420625,368.38,10.5,6152.0,10.8,208542.63,1686.47,219.75,14.4,5.8,-255.0,3.183333333,115.3,107.4,109.5,118.2,114.4,115.6,116.1,112.5,101.9,112.6,109.7,113.7,109.7,2.27,7.0,-0.2,1.4,3.1,1.2,0.2,2.5,0.2,0.023,8.0,1.94,0.966666667,9134.0,286864.0,11.96,10.76,3006.10605,3150.298038,0.602,-0.269961375,1.577403226
202210,1.907590909,4.35,2.576122727,4.331772727,230.75,10.4,12100.0,11.6,208722.1,1718.39,219.75,14.1,4.6,1323.0,3.183333333,113.2,109.3,111.1,117.9,118.5,116.9,114.1,113.0,100.9,110.3,112.7,108.9,112.5,-35.88,3.7,-0.2,1.5,2.9,1.3,0.1,2.3,0.4,0.018,7.8,1.94,0.966666667,19837.0,306701.0,12.99,11.84,3079.397245,3227.551491,0.725363636,0.394148136,1.593993333
202211,2.078113043,4.35,2.680843478,4.4312,330.63,10.4,14000.0,11.3,227876.54,1574.47,219.75,15.3,3.7,4985.0,3.183333333,113.1,107.0,107.9,115.1,111.5,118.4,112.3,109.4,110.8,103.4,108.0,100.3,110.7,-32.13,4.8,-0.2,1.5,2.8,1.4,-0.5,2.4,0.6,0.02,8.0,1.94,0.966666667,13058.0,320100.0,12.78,11.67,3135.425418,3286.463823,0.645945455,-0.087809818,1.615206452
